,Case_H,Case_L
0,0.011837356555150738,0.1044369485182227
1,0.009044447339985733,0.16058809748103303
2,0.003519207427048177,0.08375158931350753
3,0.0020436663363497835,0.12680032830854546
4,0.0011968079835292043,0.022302868366391847
5,0.0017486444155796475,0.0691605210619558
6,0.0024980024046117005,0.06511786144511333
7,0.0025152846345439725,0.045354165472571754
8,0.0020803720377950956,0.02502105908006566
9,0.0018147851186362395,0.06224240965168209
10,0.002837335719787247,0.07870793959701151
11,0.0036696816968064326,0.0530681362289123
12,0.0011571764619442363,0.043418332548673895
13,0.0019315689388703355,0.0736454736241485
14,0.002784523722244459,0.04296335773950683
15,0.0014381602846447294,0.05877568447233523
16,0.0029355452906374077,0.05435536190852375
17,0.0020668238949693575,0.05954117221667553
18,0.0025295697119415775,0.03171165275805082
19,0.0022307781580406757,0.10261096114819528
20,0.0018468452034019276,0.06908597786938418
21,0.0022999711052204856,0.05429654037341639
22,0.0019109554096995109,0.06260936579112622
23,0.001467869022321153,0.052295853110666056
24,0.0021379353751618353,0.054814702658642904
25,0.0034969385737375386,0.047813108926213224
26,0.00401563822570336,0.046234535844487265
27,0.002341008991721955,0.06021324126125341
28,0.0017588950665874668,0.06291812146238931
29,0.001963635888151671,0.08711844631481767
30,0.0021223297249031484,0.0532381715052624
31,0.001798617489023039,0.03255584874787625
32,0.0016736985924583217,0.0567108576728118
33,0.0014403655536910785,0.0793518364278293
34,0.0024394191963871296,0.05642941859774491
35,0.0018912434653362714,0.06270192593952223
36,0.0028276306883698275,0.050419803023790656
37,0.002178931307499583,0.04936168434419514
38,0.003169585723433157,0.041225310918501464
39,0.001262135849921028,0.05467219884274299
40,0.0017490219324649383,0.061479021587134725
41,0.0021025303342184862,0.06025788855566571
42,0.002278472910601774,0.06662789284255861
43,0.0020121004016333266,0.04858999235006497
44,0.002833493200016478,0.06994370320523827
45,0.0020005534211365596,0.051304589580236266
46,0.002313223954840813,0.043695792065451024
47,0.002421576918857591,0.05487516956572178
48,0.0029684183425654803,0.06141143496792136
49,0.001692018519270967,0.04810519232675786
50,0.0020981764382596393,0.05757500225642649
51,0.0025515244906328715,0.05927615900654488
52,0.0030766572788709086,0.06453740131190613
53,0.002897354001364364,0.04988270038862051
54,0.0018547434123123473,0.0652061253319145
55,0.001784892466185372,0.05683642403393852
56,0.0021584497139607505,0.0449076298400141
57,0.002415013339703118,0.0552381228751472
58,0.0025219939895114738,0.05968118906993882
59,0.0022360914900148633,0.0627661914621754
60,0.001984118450327908,0.06219568897668429
61,0.0017144348498883562,0.056232333436676656
62,0.0023096529132153984,0.05509259166041195
63,0.0016717815381189962,0.05271048936070439
64,0.0025522628588317757,0.04758144695622481
65,0.0016587470006388782,0.054072576554067525
66,0.002299512540633665,0.055081871643272766
67,0.002567001213064951,0.05064916779451744
68,0.0022118754249897056,0.04886076966029706
69,0.0027623933776780114,0.059970862417696
70,0.00197486873704804,0.05590986738908332
71,0.0022828572879537833,0.0498607929814176
72,0.0019863800630081376,0.05179433697669108
73,0.0027938895985009193,0.05614063040102091
